"genes"	"modules"
"13761"	"M1"
"108"	"M1"
"8494"	"M1"
"6015"	"M1"
"11933"	"M5"
"4675"	"M1"
"522"	"M4"
"5439"	"M1"
"4014"	"M2"
"918"	"M1"
"14854"	"M1"
"3162"	"M5"
"3822"	"M7"
"4846"	"M1"
"721"	"M4"
"7693"	"M1"
"8696"	"M1"
"7634"	"M1"
"16077"	"M5"
"708"	"M5"
"5116"	"M1"
"2157"	"M1"
"7935"	"M1"
"11080"	"M5"
"4521"	"M1"
"7630"	"M6"
"8102"	"M1"
"6815"	"M5"
"4276"	"M1"
"16520"	"M7"
"10814"	"M1"
"11676"	"M2"
"1000"	"M1"
"14896"	"M6"
"6535"	"M1"
"2166"	"M3"
"15550"	"M1"
"8586"	"M1"
"4863"	"M1"
"2496"	"M1"
"8831"	"M1"
"15400"	"M1"
"15611"	"M1"
"7690"	"M2"
"415"	"M5"
"10169"	"M6"
"12637"	"M1"
"7176"	"M1"
"4674"	"M1"
"14469"	"M1"
"15711"	"M3"
"15230"	"M3"
"15353"	"M1"
"1306"	"M1"
"6541"	"M1"
"4961"	"M1"
"11771"	"M5"
"2140"	"M4"
"9295"	"M1"
"8346"	"M1"
"13596"	"M1"
"6867"	"M1"
"15813"	"M1"
"6822"	"M1"
"7422"	"M1"
"4524"	"M8"
"16348"	"M4"
"11936"	"M5"
"7392"	"M1"
"7936"	"M1"
"4827"	"M1"
"15662"	"M1"
"6859"	"M1"
"11499"	"M7"
"15666"	"M1"
"4378"	"M4"
"7720"	"M3"
"2875"	"M5"
"10738"	"M3"
"960"	"M1"
"15239"	"M7"
"16665"	"M1"
"9077"	"M7"
"2937"	"M1"
"13881"	"M6"
"1546"	"M5"
"4759"	"M6"
"3609"	"M1"
"3422"	"M6"
"15185"	"M7"
"13726"	"M6"
"10647"	"M1"
"798"	"M1"
"6189"	"M4"
"5551"	"M5"
"14137"	"M5"
"8088"	"M5"
"11780"	"M1"
"11247"	"M7"
"14780"	"M6"
"1971"	"M6"
"11283"	"M7"
